headline,paragraph,source
Tamil Nadu Man Charged For Supporting ISIS Ideology: Probe Agency NIA,"A highly radicalised member of the banned Hizb-Ut-Tahrir outfit was seeking cooperation from other countries to set up an army to establish an Islamic State in Tamil Nadu through Jihad, says the NIA charge sheet.","Asian News International   | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
Senior Lawyer Attends Supreme Court Hearing From Hospital. Judges Said...,"An unusual scene was witnessed in the Supreme Court on Wednesday when a senior advocate advanced arguments in a matter, relating to reservation in promotions to the employees belonging to SC and ST, from a hospital.","Press Trust of India   | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
"New Trend Of Snake Bite Murders, Says Supreme Court, Denies Bail To Accused",The Supreme Court on Wednesday refused to grant bail to an accused in a case where a woman was killed after being bitten by a snake.,"
															Written by Sukirti Dwivedi  | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
Only Trinamool Congress Could Meet UP's Lakhimpur Kheri Victims' Families: Mamata Banerjee,"West Bengal Chief Minister Mamata Banerjee lauded a delegation of Trinamool Congress MPs for being the only opposition party leaders who, against all odds, succeeded in meeting family members of the farmers killed in the Lakhimpur Kheri violence","Press Trust of India   | Wednesday October 06, 2021, Kolkata                                                        
                                                        "
"Wear Masks, Keep Covid At Bay While Visiting Durga Puja Pandals: Mamata Banerjee To People","Emphasising the necessity of wearing face masks to keep the spread of COVID-19 in check, West Bengal Chief Minister Mamata Banerjee Wednesday urged everyone to be careful while pandal hopping as the pandemic is still around.","Press Trust of India   | Wednesday October 06, 2021, Kolkata                                                        
                                                        "
"""UP Trying To Hide Something"": Sachin Pilot Detained On Way To Lakhimpur","Senior Congress leader Sachin Pilot, who was on his way to meet the families of farmers killed in the violence that broke out in Uttar Pradesh's Lakhimpur, was detained this evening. He landed in Delhi earlier in the day and visuals showed him settin","
															Edited by Shatabdi Chowdhury  | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
"Call Airlines, Check Flights: Lucknow Airport Advisory Over ""Extensive VIP Movements""","Lucknow's Chaudhary Charan Singh Airport has issued an advisory for international and domestic passengers over ""extensive VIP movements"" at the airport.","Asian News International   | Wednesday October 06, 2021, Lucknow                                                        
                                                        "
Pakistan Intelligence Agency ISI Gets New Chief In Surprise Shake-Up,Pakistan Army on Wednesday announced that the powerful spy agency ISI chief Lt General Faiz Hameed has been appointed as Peshawar Corps Commander - a crucial position in view of the Taliban's takeover of neighbouring Afghanistan.,"Press Trust of India   | Wednesday October 06, 2021, Islamabad                                                        
                                                        "
Last BJP Member In Mizoram's Chakma District Council Leaves Party,"There were eight BJP leaders in the CADC and all of them joined the MNF, which rules Mizoram, in the past six months and Shanti Jiban Chakma is the last in the list.","Press Trust of India   | Wednesday October 06, 2021, Aizawl                                                        
                                                        "
"""Aryan Khan's Arrest Is Forgery"": Nawab Malik On Cruise Ship Drug Case","Maharashtra Cabinet Minister and the Nationalist Congress Party (NCP) leader Nawab Malik on Wednesday alleged that Narcotics Control Bureau (NCB) raid onboard a Mumbai cruise was ""forgery"", and BJP has misused the central agency to frame Aryan Khan.","Asian News International   | Wednesday October 06, 2021, Mumbai                                                        
                                                        "
Coast Guard Coordinates Rescue Of Crew Of Stranded Maldives-Bound Vessel,"The Coast Guard on Wednesday said it successfully coordinated the rescue of a mechanised sailing vessel's crew of nine, with the ship bound for Maldives from Tuticorin in Tamil Nadu getting flooded during its voyage.","Press Trust of India   | Wednesday October 06, 2021, Chennai                                                        
                                                        "
Enforcement Directorate Attaches Rs 26.98 Crore Assets In Rose Valley Case,The Enforcement Directorate (ED) today said it has attached assets worth Rs 26.98 crore in connection with the multi-crore Rose Valley money-laundering case.,"Press Trust of India   | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
"Madhya Pradesh Not Just ""Gazab,"" But Also Pride Of India: PM Modi","The ""MP Gazab Hai"" catchline of the Madhya Pradesh's state tourism department has drawn the attention of Prime Minister Narendra Modi, who not only termed Madhya Pradesh a ""gazab"" (fantastic) state but also the ""gaurav"" (pride) of the nation.","Press Trust of India   | Wednesday October 06, 2021, Bhopal                                                        
                                                        "
"Uttarakhand Issues New Guidelines For Char Dham Yatra; Registration, E-pass Mandatory","The Uttarakhand government on Wednesday issued new standard operating procedures (SOP) for Char Dham Yatra, amidst the prevalence of the COVID-19 pandemic.","Asian News International   | Wednesday October 06, 2021, Dehradun (Uttarakhand)                                                        
                                                        "
"""Arrest My Children Too,"" Says Ex Unitech Owner In Supreme Court","""Arrest my children also,"" said the lawyer representing Sanjay Chandra, former owner of real estate giant, Unitech, in the Supreme Court on Wednesday, provoking a strong reaction from the two judges hearing the case.","
															Reported by Sukirti Dwivedi | Wednesday October 06, 2021, New Delhi                                                        
                                                        "
